Username	Machine	Username_status	lapse_date	status	Dept	Faculty

acdrhg1	ARC1	l	2011-10-14 14:39:05.0	Staff	MEN	Faculty of Engineering
amt5jls	ARC1	d	2017-06-16 14:58:05.0	Staff	MEN	Faculty of Engineering
amt6dwh	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amt6dwh	ARC1	l	2018-01-17 11:46:47.53	Staff	AMT	Faculty of Maths & Physical Sciences
amt6dwh	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amt6saef	MARC1	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amt6saef	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amt6saef	ARC1	l	2018-01-17 11:46:47.57	Staff	AMT	Faculty of Maths & Physical Sciences
amt6saef	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amt6xw	ARC1	l	2017-06-16 14:58:05.0	Staff	EAR	Faculty of Environment
amt6xw	ARC2	a	n/a	Staff	EAR	Faculty of Environment
amtabu	ARC3	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
amtabu	ARC2	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
amtajb	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtajb	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtajb	ARC1	l	2018-01-17 11:46:47.61	Staff	AMT	Faculty of Maths & Physical Sciences
amtcb	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtcb	ARC1	l	2017-06-16 14:58:05.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtcb	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtcrd	ARC1	d	2014-12-11 09:46:23.207	Staff	AMT	Faculty of Maths & Physical Sciences
amteke	ARC1	l	2018-01-17 11:46:47.633	Staff	AMT	Faculty of Maths & Physical Sciences
amtgl	ARC1	l	2017-06-16 14:58:06.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtgl	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtgl	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtgwm	ARC3	a	n/a	Staff	EAR	Faculty of Environment
amtgwm	ARC2	a	n/a	Staff	EAR	Faculty of Environment
amtgwm	ARC1	l	2018-01-17 11:46:47.673	Staff	EAR	Faculty of Environment
amthf	ARC1	l	2018-01-17 11:46:47.697	External	AMT	Faculty of Maths & Physical Sciences
amtjma	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtjma	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtjnv	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtjnv	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtjp	ARC3	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
amtjp	ARC1	l	2017-06-16 14:58:06.0	Staff	STA	Faculty of Maths & Physical Sciences
amtjp	ARC2	a	n/a	Staff	STA	Faculty of Maths & Physical Sciences
amtkh	ARC3	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
amtkh	ARC1	l	2018-01-17 11:46:47.727	Staff	MAT	Faculty of Maths & Physical Sciences
amtkh	ARC2	a	n/a	Staff	MAT	Faculty of Maths & Physical Sciences
amtljsi	ARC1	l	2018-01-17 11:46:47.75	External	AMT	Faculty of Maths & Physical Sciences
amtmg	ARC1	l	2017-06-16 14:58:06.0	Project	AMT	Faculty of Maths & Physical Sciences
amtmg	ARC2	a	n/a	Project	AMT	Faculty of Maths & Physical Sciences
amtmk	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtmk	ARC1	l	2018-01-17 11:46:47.77	Staff	AMT	Faculty of Maths & Physical Sciences
amtmk	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtmmi	ARC1	l	2018-01-17 11:46:47.8	External	AMT	Faculty of Maths & Physical Sciences
amtmsa	ARC1	l	2017-06-16 14:58:06.0	Visitor	AMT	Faculty of Maths & Physical Sciences
amtmsa	ARC2	l	2018-04-16 11:12:32.0	Visitor	AMT	Faculty of Maths & Physical Sciences
amtnku	ARC1	l	2017-06-16 14:58:06.0	Visitor	AMT	Faculty of Maths & Physical Sciences
amtop	ARC2	d	2016-04-01 08:07:41.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtop	ARC1	d	2016-04-01 08:07:41.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtpb	ARC1	d	2010-10-14 09:57:37.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtpw	ARC1	l	2018-01-17 11:46:47.933	External	AMT	Faculty of Maths & Physical Sciences
amtrba	ARC1	d	2014-04-02 15:58:08.0	Visitor	AMT	Faculty of Maths & Physical Sciences
amtrt	ARC1	d	2015-02-02 10:09:30.003	Staff	MAT	Faculty of Maths & Physical Sciences
amtsmh	ARC1	d	2012-10-10 08:00:07.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtsmt	ARC1	l	2018-01-17 11:46:47.963	Staff	AMT	Faculty of Maths & Physical Sciences
amtsmt	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtsmt	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtssh	ARC1	d	2014-04-04 09:56:50.0	Visitor	AMT	Faculty of Maths & Physical Sciences
amtsyoo	ARC1	d	2014-02-03 10:02:57.18	Staff	MAT	Faculty of Maths & Physical Sciences
amttwo	ARC2	d	2016-03-17 08:19:11.58	Staff	MAT	Faculty of Maths & Physical Sciences
amttwo	ARC1	d	2016-03-17 08:19:11.62	Staff	MAT	Faculty of Maths & Physical Sciences
amtvb	ARC1	l	2017-06-16 14:58:06.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtvb	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtvd	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtvd	ARC1	l	2018-01-17 11:46:47.997	Staff	AMT	Faculty of Maths & Physical Sciences
amtvd	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtvl	ARC1	d	2015-05-11 08:08:26.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtvl	ARC2	d	2015-05-11 08:08:26.0	Staff	AMT	Faculty of Maths & Physical Sciences
amtwd	ARC1	d	2016-12-02 08:49:47.783	Staff	AMT	Faculty of Maths & Physical Sciences
amtwd	ARC2	d	2016-12-02 08:49:47.75	Staff	AMT	Faculty of Maths & Physical Sciences
amtyt	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
amtyt	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
bgy1jww	ARC1	d	2010-10-01 08:11:13.0	P/G	FBS	Faculty of Biological Sciences
bgy2mj	ARC1	d	2013-04-29 00:00:00.0	Alumni	GEO	Faculty of Environment
bgy9bm	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
bgy9bm	ARC1	l	2017-06-16 14:58:06.0	P/G	PRE	Faculty of Engineering
bgy9bm	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
bgycels	MARC1	a	n/a	Staff	IBC	Faculty of Medicine & Health
bgyhmw	MARC1	a	n/a	Staff	MEC	Faculty of Medicine & Health
bgyhmw	ARC2	a	n/a	Staff	MEC	Faculty of Medicine & Health
bgyhmw	ARC1	l	2017-06-16 14:58:06.0	Staff	MEC	Faculty of Medicine & Health
bgykjm	ARC2	a	n/a	Staff	FBS	Faculty of Biological Sciences
bgykjm	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bgysjgo	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bgysjgo	ARC2	a	n/a	Staff	FBS	Faculty of Biological Sciences
bgysjgo	MARC1	a	n/a	Staff	FBS	Faculty of Biological Sciences
bgyswh	ARC3	a	n/a	Staff	FBS	Faculty of Biological Sciences
bgyswh	ARC1	l	2017-02-20 12:02:08.217	Staff	FBS	Faculty of Biological Sciences
bgyswh	ARC2	a	n/a	Staff	FBS	Faculty of Biological Sciences
bmb0jpal	ARC1	d	2014-12-22 00:00:00.0	P/G	CHM	Faculty of Maths & Physical Sciences
bmb1rwm	ARC1	d	2012-09-12 00:00:00.0	Alumni	FBS	Faculty of Biological Sciences
bmbcdt	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bmbcdt	ARC2	a	n/a	Staff	FBS	Faculty of Biological Sciences
bmbdrw	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bmbdrw	MARC1	a	n/a	Staff	FBS	Faculty of Biological Sciences
bmbgeb	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bmbnar	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bmbnar	ARC2	a	n/a	Staff	FBS	Faculty of Biological Sciences
bmbnar	MARC1	a	n/a	Staff	FBS	Faculty of Biological Sciences
bmboo	ARC1	l	2015-12-16 00:00:00.0	P/G	FBS	Faculty of Biological Sciences
bmbscw	ARC1	l	2017-06-16 14:58:06.0	Staff	FBS	Faculty of Biological Sciences
bmbsmk	ARC1	d	2017-01-18 11:33:22.967	Staff	FBS	Faculty of Biological Sciences
bmbsmk	ARC2	d	2017-01-18 11:33:22.99	Staff	FBS	Faculty of Biological Sciences
bmbsmk	MARC1	l	2017-01-18 11:33:23.043	Staff	FBS	Faculty of Biological Sciences
bn09o2a	ARC3	a	n/a	P/G	BUS	Faculty of Business
bn09o2a	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn10ejf	ARC2	a	n/a	P/G	MRP	Faculty of Medicine & Health
bn10ejf	ARC3	a	n/a	P/G	MRP	Faculty of Medicine & Health
bn11ke	ARC2	d	2017-07-05 00:00:00.0	Recent Alumni	BUS	Faculty of Business
bn11ke	ARC1	d	2017-06-16 14:58:06.0	Recent Alumni	BUS	Faculty of Business
bn12aaa	ARC1	l	2017-06-16 14:58:06.0	P/G	BUS	Faculty of Business
bn12aaa	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn12aaa	ARC3	a	n/a	P/G	BUS	Faculty of Business
bn13apy	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn13apy	ARC3	a	n/a	P/G	BUS	Faculty of Business
bn13car	MARC1	a	n/a	P/G	BUS	Faculty of Business
bn13car	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn13car	ARC1	l	2017-06-16 14:58:06.0	P/G	BUS	Faculty of Business
bn13jmlv	ARC1	l	2017-06-16 14:58:06.0	P/G	BUS	Faculty of Business
bn13jmlv	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn13ukd	ARC1	l	2017-06-16 14:58:06.0	P/G	BUS	Faculty of Business
bn13ukd	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn13ukd	ARC3	a	n/a	P/G	BUS	Faculty of Business
bn14a5b	ARC3	a	n/a	P/G	AMT	Faculty of Maths & Physical Sciences
bn14a5b	ARC1	l	2017-06-16 14:58:06.0	P/G	AMT	Faculty of Maths & Physical Sciences
bn14a5b	ARC2	a	n/a	P/G	AMT	Faculty of Maths & Physical Sciences
bn14cmc	ARC2	a	n/a	P/G	BUS	Faculty of Business
bn14cmc	ARC1	l	2017-06-16 14:58:06.0	P/G	BUS	Faculty of Business
bn14jec	ARC3	a	n/a	P/G	BUS	Faculty of Business
