Username	Machine	Creation_date

acdrhg1	ARC1	2011-10-14 14:37:24.0
amt5jls	ARC1	2011-04-19 15:37:23.0
amt6dwh	ARC1	2010-03-01 11:22:18.01
amt6dwh	ARC2	2013-10-16 12:58:50.0
amt6dwh	ARC3	2018-03-20 10:33:44.633
amt6saef	ARC1	2010-02-19 08:56:02.04
amt6saef	ARC2	2013-10-10 15:51:09.0
amt6saef	ARC3	2017-01-25 16:47:24.683
amt6saef	MARC1	2015-07-15 08:19:08.0
amt6xw	ARC1	2011-10-25 12:34:36.0
amt6xw	ARC2	2015-02-03 10:14:05.877
amtabu	ARC2	2018-06-14 08:25:37.0
amtabu	ARC3	2018-06-14 08:25:41.0
amtajb	ARC1	2016-08-16 13:21:43.0
amtajb	ARC2	2016-08-16 13:21:46.0
amtajb	ARC3	2017-03-20 17:36:47.987
amtcb	ARC1	2016-01-22 13:55:19.357
amtcb	ARC2	2016-01-22 13:55:23.24
amtcb	ARC3	2017-03-20 17:34:50.737
amtcrd	ARC1	2011-10-14 14:35:57.0
amteke	ARC1	2010-03-31 11:58:06.0
amtgl	ARC1	2013-03-22 11:52:40.03
amtgl	ARC2	2017-03-02 13:49:23.517
amtgl	ARC3	2017-03-02 13:49:28.28
amtgwm	ARC1	2010-02-18 12:09:49.133
amtgwm	ARC2	2017-01-31 08:24:23.067
amtgwm	ARC3	2017-01-31 08:24:34.213
amthf	ARC1	2011-12-02 08:25:18.553
amtjma	ARC2	2017-11-09 13:41:59.83
amtjma	ARC3	2017-11-09 13:42:03.267
amtjnv	ARC2	2018-07-02 11:49:00.0
amtjnv	ARC3	2018-07-02 11:49:07.0
amtjp	ARC1	2013-09-03 14:26:12.0
amtjp	ARC2	2017-02-15 10:11:59.3
amtjp	ARC3	2017-02-15 10:12:05.093
amtkh	ARC1	2014-09-23 14:20:47.0
amtkh	ARC2	2014-09-23 14:20:52.0
amtkh	ARC3	2017-05-19 14:23:42.0
amtljsi	ARC1	2011-10-12 11:50:59.0
amtmg	ARC1	2015-02-26 13:42:59.743
amtmg	ARC2	2015-02-26 13:43:06.7
amtmk	ARC1	2015-03-17 10:44:04.877
amtmk	ARC2	2015-03-17 10:44:07.663
amtmk	ARC3	2017-03-21 11:03:55.853
amtmmi	ARC1	2013-01-14 15:36:30.827
amtmsa	ARC1	2016-11-29 10:07:26.9
amtmsa	ARC2	2016-11-29 10:07:34.657
amtnku	ARC1	2013-11-06 15:59:57.397
amtop	ARC1	2011-10-13 10:52:55.0
amtop	ARC2	2013-11-21 10:03:57.803
amtpb	ARC1	2010-02-19 08:56:52.137
amtpw	ARC1	2011-11-04 16:10:01.583
amtrba	ARC1	2013-11-06 15:56:24.8
amtrt	ARC1	2011-10-11 17:09:34.0
amtsmh	ARC1	2010-03-03 14:42:08.753
amtsmt	ARC1	2010-02-10 12:27:23.0
amtsmt	ARC2	2013-10-16 12:58:59.0
amtsmt	ARC3	2017-03-16 16:30:17.057
amtssh	ARC1	2013-11-06 15:58:17.627
amtsyoo	ARC1	2012-07-23 08:17:18.0
amttwo	ARC1	2013-09-10 10:44:00.0
amttwo	ARC2	2014-01-16 08:19:48.357
amtvb	ARC1	2015-11-09 16:39:03.943
amtvb	ARC2	2015-11-09 16:39:07.43
amtvd	ARC1	2015-02-18 09:48:04.63
amtvd	ARC2	2015-02-18 09:48:09.803
amtvd	ARC3	2017-03-24 07:02:59.51
amtvl	ARC1	2012-10-08 10:12:50.0
amtvl	ARC2	2014-01-13 12:55:10.297
amtwd	ARC1	2013-05-17 14:19:31.0
amtwd	ARC2	2013-11-19 11:53:44.79
amtyt	ARC2	2017-06-07 17:36:40.0
amtyt	ARC3	2017-06-07 17:36:44.0
bgy1jww	ARC1	2010-02-10 12:26:57.097
bgy2mj	ARC1	2011-06-22 17:28:57.0
bgy9bm	ARC1	2016-09-01 15:00:49.0
bgy9bm	ARC2	2016-09-01 15:00:55.0
bgy9bm	ARC3	2017-03-21 14:19:16.497
bgycels	MARC1	2017-05-02 11:41:55.0
bgyhmw	ARC1	2011-05-26 13:40:13.0
bgyhmw	ARC2	2014-01-08 17:00:30.16
bgyhmw	MARC1	2015-12-02 17:45:50.72
bgykjm	ARC1	2016-10-07 15:19:25.0
bgykjm	ARC2	2016-10-07 15:19:29.0
bgysjgo	ARC1	2016-11-21 11:52:05.377
bgysjgo	ARC2	2016-11-21 11:52:08.47
bgysjgo	MARC1	2016-11-30 12:53:03.213
bgyswh	ARC1	2010-03-05 14:06:26.05
bgyswh	ARC2	2017-07-10 15:23:39.0
bgyswh	ARC3	2017-07-10 15:23:44.0
bmb0jpal	ARC1	2013-06-06 09:06:31.0
bmb1rwm	ARC1	2010-02-24 13:48:01.727
bmbcdt	ARC1	2015-11-10 15:14:14.737
bmbcdt	ARC2	2015-11-10 15:14:17.293
bmbdrw	ARC1	2011-03-04 11:29:41.23
bmbdrw	MARC1	2015-07-15 08:19:21.0
bmbgeb	ARC1	2011-05-20 13:06:08.0
bmbnar	ARC1	2012-06-29 17:35:48.0
bmbnar	ARC2	2013-11-20 07:37:02.017
bmbnar	MARC1	2015-07-15 08:19:46.0
bmboo	ARC1	2011-12-09 14:53:27.183
bmbscw	ARC1	2010-02-25 12:53:13.457
bmbsmk	ARC1	2016-01-08 10:06:44.443
bmbsmk	ARC2	2016-01-08 10:06:47.313
bmbsmk	MARC1	2016-01-08 10:12:12.427
bn09o2a	ARC2	2017-02-20 09:46:57.69
bn09o2a	ARC3	2017-03-10 09:37:03.83
bn10ejf	ARC2	2017-07-18 12:03:53.0
bn10ejf	ARC3	2017-07-18 12:03:59.0
bn11ke	ARC1	2016-09-28 10:10:11.0
bn11ke	ARC2	2016-09-28 10:10:17.0
bn12aaa	ARC1	2016-10-06 13:03:42.0
bn12aaa	ARC2	2016-10-06 13:03:46.0
bn12aaa	ARC3	2017-03-30 12:42:30.0
bn13apy	ARC2	2017-10-10 17:28:02.0
bn13apy	ARC3	2017-10-10 17:27:57.0
bn13car	ARC1	2016-02-16 10:30:17.15
bn13car	ARC2	2016-02-16 10:30:20.03
bn13car	MARC1	2016-03-14 16:14:05.34
bn13jmlv	ARC1	2016-09-20 10:30:06.0
bn13jmlv	ARC2	2016-09-20 10:30:09.0
bn13ukd	ARC1	2016-02-29 11:21:04.273
bn13ukd	ARC2	2016-02-29 11:21:09.813
bn13ukd	ARC3	2017-09-20 11:41:51.0
bn14a5b	ARC1	2016-05-11 09:20:45.0
bn14a5b	ARC2	2016-05-11 09:20:51.0
bn14a5b	ARC3	2017-09-07 14:31:07.0
bn14cmc	ARC1	2016-11-16 10:19:46.34
bn14cmc	ARC2	2016-11-16 10:19:54.847
bn14jec	ARC2	2017-02-17 09:46:58.43
bn14jec	ARC3	2018-05-11 13:31:10.0
bn14m5c	ARC2	2017-07-25 14:53:40.0
bn14m5c	ARC3	2017-07-25 14:53:43.0
bnnswf	ARC2	2017-06-28 13:27:07.0
bnnswf	ARC3	2017-06-28 13:27:03.0
bnnswf	MARC1	2017-08-10 14:31:15.0
bnra	ARC2	2017-10-02 11:42:37.0
bnra	ARC3	2017-10-02 11:42:45.0
bnujg	ARC1	2016-01-26 16:09:04.77
bnujg	ARC2	2016-01-26 16:09:11.353
bnyz	ARC1	2016-02-16 17:37:27.253
bnyz	ARC2	2016-02-16 17:37:33.15
bs06lw	ARC1	2010-02-10 12:39:25.92
bs07jw	ARC1	2010-10-05 12:50:21.0
bs07mfk	ARC1	2010-12-07 14:34:12.9
bs08d2s	ARC1	2013-09-13 15:20:19.0
bs08j2c	ARC1	2014-10-09 07:58:33.0
bs08j2c	ARC2	2014-10-09 07:58:36.0
bs08j2c	MARC1	2015-10-21 12:46:18.0
bs09s2k	ARC1	2011-11-01 14:01:30.813
bs09s3h	ARC1	2013-01-18 17:28:27.227
bs09s3h	ARC2	2015-11-12 16:34:40.83
bs10d2h	ARC1	2015-03-13 11:56:39.853
bs10d2h	ARC2	2015-03-13 11:56:43.59
bs10d2h	ARC3	2017-02-23 10:12:04.79
bs10g3c	ARC1	2015-02-04 12:33:42.073
